,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.003988981246948242,0,454,0
1,6,0.003989219665527344,0,454,0
2,6,0.003989458084106445,0,454,0
3,6,0.003989458084106445,0,454,0
4,6,0.003989219665527344,0,454,0
5,6,0.003989696502685547,0,454,0
6,4,0.0031888484954833984,0,452,0
7,4,0.0,0,452,0
8,4,0.009918212890625,0,452,0
9,4,0.002991914749145508,0,452,0
10,6,0.003989219665527344,0,454,0
11,6,0.003988504409790039,0,454,0
12,4,0.003989458084106445,0,452,0
13,6,0.003989458084106445,0,454,0
14,6,0.00399017333984375,0,454,0
15,4,0.003989219665527344,0,452,0
16,4,0.003991127014160156,0,452,0
17,4,0.003930807113647461,0,452,0
18,4,0.003930330276489258,0,452,0
19,6,0.003960371017456055,0,454,0
