,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.0016350746154785,6,11939,0
1,21,1.0999209880828857,0,12009,0
2,22,2.7235147953033447,277,14930,0
3,23,1.0072896480560303,0,12011,0
4,28,1.290142297744751,26,13203,0
5,28,1.7879605293273926,97,12698,0
6,28,1.03271484375,1,12012,0
7,28,1.1289701461791992,11,11879,0
8,28,1.2184600830078125,52,12089,0
9,28,1.1484086513519287,10,11882,0
10,28,1.3227512836456299,9,11900,0
11,28,1.0977344512939453,0,12016,0
12,28,0.9843392372131348,3,11973,0
13,29,1.18727707862854,47,12280,0
14,23,0.9858832359313965,0,12011,0
15,29,2.3153634071350098,188,14226,0
16,23,1.1629455089569092,40,12128,0
17,23,1.0638744831085205,12,11866,0
18,23,0.9843075275421143,0,12011,0
19,23,0.995988130569458,0,12011,0
