,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,0.9736542701721191,1,11999,0
1,21,1.1167268753051758,0,12009,0
2,22,1.168943166732788,11,13430,0
3,23,0.9717440605163574,0,12011,0
4,28,1.037811040878296,1,12011,0
5,28,1.0966858863830566,10,12734,0
6,28,1.0085780620574951,8,12029,0
7,28,1.0409841537475586,4,12107,0
8,28,1.0129797458648682,1,12012,0
9,28,1.021618127822876,1,12011,0
10,28,1.0729727745056152,7,12191,0
11,28,0.9700818061828613,0,12016,0
12,28,0.9997634887695312,3,11995,0
13,29,1.0233840942382812,4,12113,0
14,23,0.9727668762207031,0,12011,0
15,29,1.0623588562011719,10,12341,0
16,23,1.0089969635009766,1,12004,0
17,23,1.0093317031860352,2,12078,0
18,23,0.9539837837219238,0,12011,0
19,23,0.9928884506225586,0,12011,0
