,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,0.9691212177276611,1,12005,0
1,21,0.9733099937438965,0,12009,0
2,22,1.1230785846710205,12,12640,0
3,23,0.9658739566802979,0,12011,0
4,28,1.0020146369934082,1,12012,0
5,28,1.0055415630340576,3,11999,0
6,28,1.025975227355957,6,11978,0
7,28,1.0756957530975342,1,12012,0
8,28,0.9505133628845215,1,12012,0
9,28,1.0126633644104004,2,12076,0
10,28,0.9792771339416504,2,12003,0
11,28,1.0403056144714355,0,12016,0
12,28,1.0045175552368164,2,12006,0
13,29,0.9961276054382324,1,12013,0
14,23,0.9885029792785645,0,12011,0
15,29,1.2100012302398682,26,15088,0
16,23,1.0054199695587158,3,12279,0
17,23,1.0027976036071777,2,12003,0
18,23,0.949272632598877,0,12011,0
19,23,0.9731497764587402,0,12011,0
