,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.0132861137390137,2,11998,0
1,21,0.9893548488616943,0,12009,0
2,22,0.9724254608154297,5,12074,0
3,23,0.9524812698364258,0,12011,0
4,28,0.999382734298706,9,12619,0
5,28,1.0641229152679443,7,12505,0
6,28,0.9853589534759521,2,12001,0
7,28,0.9594631195068359,1,12012,0
8,28,0.9683828353881836,6,12023,0
9,28,0.9704303741455078,3,11990,0
10,28,0.9863600730895996,5,11994,0
11,28,0.95943284034729,0,12016,0
12,28,0.9624538421630859,2,12008,0
13,29,0.9623963832855225,1,12013,0
14,23,0.9474947452545166,0,12011,0
15,29,1.0112881660461426,8,12512,0
16,23,0.9624314308166504,2,12002,0
17,23,0.9594297409057617,3,11995,0
18,23,0.948455810546875,0,12011,0
19,23,0.9554140567779541,0,12011,0
