,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.0531842708587646,2,11998,0
1,21,0.9863760471343994,0,12009,0
2,22,0.9933421611785889,6,12067,0
3,23,0.9704248905181885,0,12011,0
4,28,1.0212376117706299,10,12619,0
5,28,1.0890939235687256,7,12501,0
6,28,1.0032856464385986,2,12001,0
7,28,1.0282316207885742,1,12012,0
8,28,1.0591371059417725,5,12035,0
9,28,1.0712029933929443,3,11994,0
10,28,1.0685317516326904,40,11976,0
11,28,0.9974985122680664,0,12016,0
12,28,1.0301165580749512,27,12008,0
13,29,1.235123634338379,1,12013,0
14,23,0.9752671718597412,0,12011,0
15,29,1.1028387546539307,39,12468,0
16,23,1.0038673877716064,2,12002,0
17,23,1.0134494304656982,5,12337,0
18,23,0.9797313213348389,0,12011,0
19,23,1.0029771327972412,0,12011,0
